num_trials,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1score_mean
1,0.9933333333333333,0.0,0.9934210526315788,0.9933333333333333,0.9933330370238677
2,0.9966666666666666,0.003333333333333355,0.9967105263157894,0.9966666666666666,0.9966665185119339
3,0.9966666666666666,0.0027216552697591043,0.9967032647844777,0.9966666666666666,0.9966665555510286
4,0.9966666666666666,0.0023570226039551735,0.9966996340188219,0.9966666666666666,0.9966665740705759
5,0.9973333333333333,0.0024944382578493043,0.9973597072150575,0.9973333333333333,0.9973332592564607
6,0.9977777777777778,0.002484519974999774,0.9977997560125479,0.9977777777777778,0.9977777160470506
7,0.9976190476190476,0.0023328473740792228,0.997641039685306,0.9976190476190476,0.9976189894159316
8,0.9979166666666666,0.0023199018178458462,0.9979359097246427,0.9979166666666666,0.9979166157389403
9,0.998148148148148,0.00228311629739592,0.9981652530885713,0.998148148148148,0.9981481028790581
10,0.9983333333333333,0.0022360679774997916,0.9983487277797142,0.9983333333333333,0.9983332925911522
11,0.9984848484848484,0.0021851825911902985,0.9984988434361038,0.9984848484848484,0.998484811446502
12,0.9983333333333332,0.0021516574145596756,0.998348001626583,0.9983333333333332,0.9983332962950616
13,0.9984615384615384,0.002114413141342389,0.9984750784245382,0.9984615384615384,0.9984615042723646
